AB10,SCO 4
AB11,SCO 4
AB12,SCO 4
AB13,SCO 4
AB14,SCO 4
AB15,SCO 4
AB16,SCO 4
AB21,SCO 4
AB22,SCO 4
AB23,SCO 4
AB24,SCO 4
AB25,SCO 4
AB30,SCO 5
AB31,SCO 5
AB32,SCO 5
AB33,SCO 5
AB34,SCO 5
AB35,SCO 5
AB36,SCO 5
AB37,SCO 5
AB38,SCO 5
AB39,SCO 5
AB41,SCO 5
AB42,SCO 5
AB43,SCO 5
AB44,SCO 5
AB45,SCO 5
AB51,SCO 5
AB52,SCO 5
AB53,SCO 5
AB54,SCO 5
AB55,SCO 5
AB56,SCO 5
AB99,SCO 5
DD1,SCO 4
DD2,SCO 4
DD3,SCO 4
DD4,SCO 4
DD5,SCO 4
DD6,SCO 4
DD7,SCO 4
DD8,SCO 4
DD9,SCO 4
DD10,SCO 4
DD11,SCO 4
DG1,SCO 3
DG2,SCO 3
DG3,SCO 3
DG4,SCO 3
DG5,SCO 3
DG6,SCO 3
DG7,SCO 3
DG8,SCO 3
DG9,SCO 3
DG10,SCO 3
DG11,SCO 3
DG12,SCO 3
DG13,SCO 3
DG14,SCO 3
DG16,SCO 3
EH1,SCO 1
EH2,SCO 1
EH3,SCO 1
EH4,SCO 1
EH5,SCO 1
EH6,SCO 1
EH7,SCO 1
EH8,SCO 1
EH9,SCO 1
EH10,SCO 1
EH11,SCO 1
EH12,SCO 1
EH13,SCO 1
EH14,SCO 1
EH15,SCO 1
EH16,SCO 1
EH17,SCO 1
EH18,SCO 1
EH19,SCO 1
EH20,SCO 1
EH21,SCO 1
EH22,SCO 1
EH23,SCO 1
EH24,SCO 1
EH25,SCO 1
EH26,SCO 1
EH27,SCO 1
EH28,SCO 1
EH29,SCO 1
EH30,SCO 1
EH31,SCO 1
EH32,SCO 1
EH33,SCO 1
EH34,SCO 1
EH35,SCO 1
EH36,SCO 1
EH37,SCO 1
EH38,SCO 1
EH39,SCO 1
EH40,SCO 1
EH41,SCO 1
EH42,SCO 2
EH43,SCO 2
EH44,SCO 2
EH45,SCO 2
EH46,SCO 2
EH47,SCO 2
EH48,SCO 2
EH49,SCO 2
EH51,SCO 2
EH52,SCO 2
EH53,SCO 2
EH54,SCO 2
EH55,SCO 1
EH91,SCO 2
EH95,SCO 2
EH99,SCO 2
FK1,SCO 1
FK2,SCO 1
FK3,SCO 1
FK4,SCO 1
FK5,SCO 1
FK6,SCO 1
FK7,SCO 1
FK8,SCO 1
FK9,SCO 1
FK10,SCO 1
FK11,SCO 1
FK12,SCO 1
FK13,SCO 1
FK14,SCO 1
FK15,SCO 1
FK16,SCO 1
FK17,SCO 2
FK18,SCO 2
FK19,SCO 2
FK20,SCO 2
FK21,SCO 2
G1,SCO 1
G2,SCO 1
G3,SCO 1
G4,SCO 1
G5,SCO 1
G9,SCO 1
G11,SCO 1
G12,SCO 1
G13,SCO 1
G14,SCO 1
G15,SCO 1
G20,SCO 1
G21,SCO 1
G22,SCO 1
G23,SCO 1
G31,SCO 1
G32,SCO 1
G33,SCO 1
G34,SCO 1
G40,SCO 1
G41,SCO 1
G42,SCO 1
G43,SCO 1
G44,SCO 1
G45,SCO 1
G46,SCO 1
G51,SCO 1
G52,SCO 1
G53,SCO 1
G58,SCO 1
G60,SCO 1
G61,SCO 1
G62,SCO 1
G63,SCO 1
G64,SCO 1
G65,SCO 1
G66,SCO 1
G67,SCO 1
G68,SCO 1
G69,SCO 1
G70,SCO 1
G71,SCO 1
G72,SCO 1
G73,SCO 1
G74,SCO 1
G75,SCO 1
G76,SCO 1
G77,SCO 1
G78,SCO 1
G79,SCO 1
G81,SCO 1
G82,SCO 1
G83,SCO 2
G84,SCO 2
G90,SCO 2
HS1,SCO 6
HS2,SCO 6
HS3,SCO 6
HS4,SCO 6
HS5,SCO 6
HS6,SCO 6
HS7,SCO 6
HS8,SCO 6
HS9,SCO 6
IV1,SCO 4
IV2,SCO 4
IV3,SCO 4
IV4,SCO 5
IV5,SCO 5
IV6,SCO 5
IV7,SCO 5
IV8,SCO 5
IV9,SCO 5
IV10,SCO 5
IV11,SCO 5
IV12,SCO 5
IV13,SCO 5
IV14,SCO 5
IV15,SCO 5
IV16,SCO 5
IV17,SCO 5
IV18,SCO 5
IV19,SCO 5
IV20,SCO 5
IV21,SCO 5
IV22,SCO 5
IV23,SCO 5
IV24,SCO 5
IV25,SCO 5
IV26,SCO 5
IV27,SCO 5
IV28,SCO 5
IV30,SCO 5
IV31,SCO 5
IV32,SCO 5
IV36,SCO 5
IV40,SCO 5
IV41,SCO 6
IV42,SCO 6
IV43,SCO 6
IV44,SCO 6
IV45,SCO 6
IV46,SCO 6
IV47,SCO 6
IV48,SCO 6
IV49,SCO 6
IV51,SCO 6
IV52,SCO 5
IV53,SCO 5
IV54,SCO 5
IV55,SCO 6
IV56,SCO 6
IV63,SCO 5
IV99,SCO 4
KA1,SCO 1
KA2,SCO 1
KA3,SCO 1
KA4,SCO 1
KA5,SCO 1
KA6,SCO 1
KA7,SCO 1
KA8,SCO 1
KA9,SCO 1
KA10,SCO 1
KA11,SCO 1
KA12,SCO 1
KA13,SCO 1
KA14,SCO 1
KA15,SCO 1
KA16,SCO 1
KA17,SCO 1
KA18,SCO 1
KA19,SCO 1
KA20,SCO 1
KA21,SCO 1
